topic,publication_count,percentage
Chemical and Physical Properties of Materials,22,0.04
Creativity in Education and Neuroscience,22,0.04
E-Learning and COVID-19,22,0.04
Cooperative Communication and Network Coding,22,0.04
Iron-based superconductors research,22,0.04
Adolescent and Pediatric Healthcare,22,0.04
Insect-Plant Interactions and Control,22,0.04
Polyamine Metabolism and Applications,22,0.04
Urban Agriculture and Sustainability,22,0.04
Ultrasound in Clinical Applications,22,0.04
Innovative Approaches in Technology and Social Development,22,0.04
Industrial Gas Emission Control,22,0.04
Wireless Communication Security Techniques,22,0.04
Wireless Signal Modulation Classification,22,0.04
Synthetic Organic Chemistry Methods,22,0.04
Synthesis and biological activity,22,0.04
Allelopathy and phytotoxic interactions,22,0.04
Forensic and Genetic Research,22,0.04
Technology Assessment and Management,22,0.04
Fire Detection and Safety Systems,22,0.04
Periodontal Regeneration and Treatments,22,0.04
Hip and Femur Fractures,22,0.04
Environmental Toxicology and Ecotoxicology,22,0.04
Trauma and Emergency Care Studies,22,0.04
Autopsy Techniques and Outcomes,22,0.04
"Balance, Gait, and Falls Prevention",22,0.04
Advanced Materials Characterization Techniques,22,0.04
Quantum chaos and dynamical systems,22,0.04
Soil Moisture and Remote Sensing,22,0.04
Probabilistic and Robust Engineering Design,22,0.04
Multilingual Education and Policy,22,0.04
Advanced X-ray Imaging Techniques,22,0.04
Toxoplasma gondii Research Studies,22,0.04
Geological and Geochemical Analysis,22,0.04
Aquatic Ecosystems and Phytoplankton Dynamics,22,0.04
Transgenic Plants and Applications,22,0.04
Central Venous Catheters and Hemodialysis,22,0.04
Diverse Scientific Research Studies,22,0.04
Microbial bioremediation and biosurfactants,22,0.04
Fluorine in Organic Chemistry,22,0.04
"Neuroscience, Education and Cognitive Function",22,0.04
Biological Research and Disease Studies,21,0.04
Education Systems and Policy,21,0.04
Pharmaceutical Economics and Policy,21,0.04
Metal complexes synthesis and properties,21,0.04
Theoretical and Computational Physics,21,0.04
Sperm and Testicular Function,21,0.04
Knee injuries and reconstruction techniques,21,0.04
Hydrogen embrittlement and corrosion behaviors in metals,21,0.04
Personality Disorders and Psychopathology,21,0.04
Intergenerational and Educational Inequality Studies,21,0.04
Pesticide Residue Analysis and Safety,21,0.04
Scientific Research and Discoveries,21,0.04
Relativity and Gravitational Theory,21,0.04
Sensory Analysis and Statistical Methods,21,0.04
Organizational Leadership and Management Strategies,21,0.04
Software-Defined Networks and 5G,21,0.04
Nanomaterials and Printing Technologies,21,0.04
Nuclear Materials and Properties,21,0.04
Nuclear Physics and Applications,21,0.04
Nonmelanoma Skin Cancer Studies,21,0.04
Vehicle License Plate Recognition,21,0.04
Space Science and Extraterrestrial Life,21,0.04
Chaos-based Image/Signal Encryption,21,0.04
Silicon Carbide Semiconductor Technologies,21,0.04
Financial Distress and Bankruptcy Prediction,21,0.04
Evolutionary Psychology and Human Behavior,21,0.04
Polysaccharides Composition and Applications,21,0.04
Plant Disease Management Techniques,21,0.04
Face Recognition and Perception,21,0.04
"Innovation, Sustainability, Human-Machine Systems",21,0.04
Phase Equilibria and Thermodynamics,20,0.04
Spectroscopy and Laser Applications,20,0.04
Semantic Web and Ontologies,20,0.04
Polymer Nanocomposites and Properties,20,0.04
Intermetallics and Advanced Alloy Properties,20,0.04
Interprofessional Education and Collaboration,20,0.04
Educational and Psychological Assessments,20,0.04
Pediatric Hepatobiliary Diseases and Treatments,20,0.04
Technology Use by Older Adults,20,0.04
Polyomavirus and related diseases,20,0.04
Advanced Optimization Algorithms Research,20,0.04
Microbial infections and disease research,20,0.04
Signaling Pathways in Disease,20,0.04
Advanced Technologies in Various Fields,20,0.04
Academic Writing and Publishing,20,0.04
Academic integrity and plagiarism,20,0.04
Adolescent Sexual and Reproductive Health,20,0.04
Inorganic Chemistry and Materials,20,0.04
Sarcoidosis and Beryllium Toxicity Research,20,0.04
Insect Resistance and Genetics,20,0.04
Fungal Biology and Applications,20,0.04
GABA and Rice Research,20,0.04
Ultrasound and Hyperthermia Applications,20,0.04
Coal and Its By-products,20,0.04
Death Anxiety and Social Exclusion,20,0.04
Moringa oleifera research and applications,20,0.04
Statistical Methods and Applications,20,0.04
Gender Diversity and Inequality,20,0.04
Dental Radiography and Imaging,20,0.04
Behavioral and Psychological Studies,20,0.04
Animal Genetics and Reproduction,20,0.04
Anesthesia and Pain Management,20,0.04
Phytochemistry and Biological Activities,20,0.04
Biochemical and Molecular Research,20,0.04
Engineering Diagnostics and Reliability,20,0.04
Nicotinic Acetylcholine Receptors Study,20,0.04
Drug-Induced Hepatotoxicity and Protection,20,0.04
Geochemistry and Elemental Analysis,20,0.04
Lysosomal Storage Disorders Research,20,0.04
Advanced Steganography and Watermarking Techniques,20,0.04
Bacterial Infections and Vaccines,20,0.04
Advanced Clustering Algorithms Research,20,0.04
Planarian Biology and Electrostimulation,20,0.04
Aging and Gerontology Research,20,0.04
Homelessness and Social Issues,20,0.04
Medical Imaging and Pathology Studies,19,0.04
Software Engineering Techniques and Practices,19,0.04
Political Philosophy and Ethics,19,0.04
Chemical Synthesis and Reactions,19,0.04
Cyclopropane Reaction Mechanisms,19,0.04
"Agriculture, Land Use, Rural Development",19,0.04
Ginseng Biological Effects and Applications,19,0.04
Photochemistry and Electron Transfer Studies,19,0.04
Pericarditis and Cardiac Tamponade,19,0.04
Financial Risk and Volatility Modeling,19,0.04
International Business and FDI,19,0.04
Global Health Workforce Issues,19,0.04
Wireless Body Area Networks,19,0.04
Visual and Cognitive Learning Processes,19,0.04
Anatomy and Medical Technology,19,0.04
Wireless Power Transfer Systems,19,0.04
Selenium in Biological Systems,19,0.04
Insect Utilization and Effects,19,0.04
Fetal and Pediatric Neurological Disorders,19,0.04
"Financial Literacy, Pension, Retirement Analysis",19,0.04
Artificial Intelligence in Games,19,0.04
Microfluidic and Capillary Electrophoresis Applications,19,0.04
Quantum optics and atomic interactions,19,0.04
Obsessive-Compulsive Spectrum Disorders,19,0.04
Ethnobotanical and Medicinal Plants Studies,19,0.04
Software System Performance and Reliability,19,0.04
Forensic Toxicology and Drug Analysis,19,0.04
Gastrointestinal disorders and treatments,19,0.04
Advanced Physical and Chemical Molecular Interactions,19,0.04
Marine animal studies overview,19,0.04
Marine Biology and Ecology Research,19,0.04
Regional Economics and Spatial Analysis,19,0.04
Urticaria and Related Conditions,19,0.04
Islanding Detection in Power Systems,19,0.04
Wheat and Barley Genetics and Pathology,19,0.04
Genome Rearrangement Algorithms,19,0.04
Social Acceptance of Renewable Energy,19,0.04
Medical Coding and Health Information,19,0.04
Anesthesia and Sedative Agents,19,0.04
Recycling and utilization of industrial and municipal waste in materials production,19,0.04
Data Management and Algorithms,19,0.04
ICT Impact and Policies,19,0.04
Uterine Myomas and Treatments,19,0.04
Nanofluid Flow and Heat Transfer,19,0.04
Force Microscopy Techniques and Applications,19,0.04
Layered Double Hydroxides Synthesis and Applications,19,0.04
"Housing, Finance, and Neoliberalism",19,0.04
Plant Disease Resistance and Genetics,19,0.04
Aluminum Alloy Microstructure Properties,19,0.04
Various Chemistry Research Topics,19,0.04
Plant and Fungal Interactions Research,19,0.04
Age of Information Optimization,19,0.04
Pharmaceutical Practices and Patient Outcomes,19,0.04
Aeolian processes and effects,19,0.04
Coenzyme Q10 studies and effects,19,0.04
Infectious Encephalopathies and Encephalitis,19,0.04
nanoparticles nucleation surface interactions,19,0.04
Injury Epidemiology and Prevention,18,0.04
Dyeing and Modifying Textile Fibers,18,0.04
Opportunistic and Delay-Tolerant Networks,18,0.04
Zebrafish Biomedical Research Applications,18,0.04
Plant Reproductive Biology,18,0.04
Pain Management and Treatment,18,0.04
Nonlinear Photonic Systems,18,0.04
AI and HR Technologies,18,0.04
Advanced DC-DC Converters,18,0.04
Process Optimization and Integration,18,0.04
Congenital Diaphragmatic Hernia Studies,18,0.04
Plant Pathogens and Resistance,18,0.04
Salivary Gland Disorders and Functions,18,0.04
Protein purification and stability,18,0.04
Tribology and Wear Analysis,18,0.04
Nuclear reactor physics and engineering,18,0.04
Risk Perception and Management,18,0.04
Terahertz technology and applications,18,0.04
Big Data and Digital Economy,18,0.04
Forest Ecology and Biodiversity Studies,18,0.04
Biochemical and biochemical processes,18,0.04
"Perfectionism, Procrastination, Anxiety Studies",18,0.04
Identification and Quantification in Food,18,0.04
Energy Efficiency and Management,18,0.04
Environmental Justice and Health Disparities,18,0.04
Ion channel regulation and function,18,0.04
Human-Animal Interaction Studies,18,0.04
Technostress in Professional Settings,18,0.04
Proteoglycans and glycosaminoglycans research,18,0.04
"Gender, Feminism, and Media",18,0.04
Renal and Vascular Pathologies,18,0.04
Connective Tissue Growth Factor Research,18,0.04
Social Capital and Networks,18,0.04
Education and Character Development,18,0.04
Medicinal Plants and Bioactive Compounds,18,0.04
Neonatal and Maternal Infections,18,0.04
"Sexuality, Behavior, and Technology",18,0.04
Digital Games and Media,18,0.04
Preterm Birth and Chorioamnionitis,18,0.04
Prenatal Substance Exposure Effects,18,0.04
Social Robot Interaction and HRI,18,0.04
Calcium Carbonate Crystallization and Inhibition,18,0.04
Nursing education and management,18,0.04
Pneumocystis jirovecii pneumonia detection and treatment,18,0.04
Microwave Engineering and Waveguides,18,0.04
Economic Growth and Development,18,0.04
Fermentation and Sensory Analysis,18,0.04
Visual perception and processing mechanisms,18,0.04
Cloud Data Security Solutions,17,0.03
Infrastructure Resilience and Vulnerability Analysis,17,0.03
Aortic aneurysm repair treatments,17,0.03
Noncommutative and Quantum Gravity Theories,17,0.03
Kruppel-like factors research,17,0.03
Plant Growth Enhancement Techniques,17,0.03
Language and cultural evolution,17,0.03
Cardiovascular and Diving-Related Complications,17,0.03
Discourse Analysis in Language Studies,17,0.03
Electric Power System Optimization,17,0.03
"Adhesion, Friction, and Surface Interactions",17,0.03
Polymer-Based Agricultural Enhancements,17,0.03
Groundwater flow and contamination studies,17,0.03
Medication Adherence and Compliance,17,0.03
Radioactivity and Radon Measurements,17,0.03
Semiconductor materials and interfaces,17,0.03
Crop Yield and Soil Fertility,17,0.03
Rangeland and Wildlife Management,17,0.03
Chromatin Remodeling and Cancer,17,0.03
Spinal Dysraphism and Malformations,17,0.03
Cyberloafing and Workplace Behavior,17,0.03
Ocean Acidification Effects and Responses,17,0.03
Advanced Optical Imaging Technologies,17,0.03
Sinusitis and nasal conditions,17,0.03
Menopause: Health Impacts and Treatments,17,0.03
Meningioma and schwannoma management,17,0.03
Risk and Safety Analysis,17,0.03
Anaerobic Digestion and Biogas Production,17,0.03
Stress and Burnout Research,17,0.03
Enzyme Production and Characterization,17,0.03
Global Financial Crisis and Policies,17,0.03
Hedgehog Signaling Pathway Studies,17,0.03
Pituitary Gland Disorders and Treatments,17,0.03
Corneal Surgery and Treatments,17,0.03
Urinary Bladder and Prostate Research,17,0.03
Organic and Molecular Conductors Research,17,0.03
Consumer Market Behavior and Pricing,17,0.03
Quality and Safety in Healthcare,17,0.03
Pickering emulsions and particle stabilization,17,0.03
Autoimmune and Inflammatory Disorders,17,0.03
Date Palm Research Studies,17,0.03
Climate Change and Geoengineering,17,0.03
Control Systems and Identification,17,0.03
Contact Dermatitis and Allergies,17,0.03
Image and Object Detection Techniques,16,0.03
"Race, Genetics, and Society",16,0.03
Economic Policies and Impacts,16,0.03
Strong Light-Matter Interactions,16,0.03
Integrated Circuits and Semiconductor Failure Analysis,16,0.03
Advances in Oncology and Radiotherapy,16,0.03
Emergency and Acute Care Studies,16,0.03
Apelin-related biomedical research,16,0.03
Particle Detector Development and Performance,16,0.03
Adrenal and Paraganglionic Tumors,16,0.03
Intimate Partner and Family Violence,16,0.03
Acoustic Wave Resonator Technologies,16,0.03
Social and Cultural Dynamics,16,0.03
Cultural Industries and Urban Development,16,0.03
"Poverty, Education, and Child Welfare",16,0.03
Global Energy Security and Policy,16,0.03
Intraperitoneal and Appendiceal Malignancies,16,0.03
Open Source Software Innovations,16,0.03
Microbial Inactivation Methods,16,0.03
Microencapsulation and Drying Processes,16,0.03
Matrix Theory and Algorithms,16,0.03
FOXO transcription factor regulation,16,0.03
Genetic Syndromes and Imprinting,16,0.03
Optimization and Mathematical Programming,16,0.03
Antenna Design and Optimization,16,0.03
Heavy Metals in Plants,16,0.03
"Urban, Neighborhood, and Segregation Studies",16,0.03
Coastal and Marine Dynamics,16,0.03
Mechanical Behavior of Composites,16,0.03
Educational Research and Methods,16,0.03
Advanced machining processes and optimization,16,0.03
Dielectric properties of ceramics,16,0.03
Insurance and Financial Risk Management,16,0.03
Parvovirus B19 Infection Studies,16,0.03
Blood groups and transfusion,16,0.03
Human Motion and Animation,16,0.03
Radiation Detection and Scintillator Technologies,16,0.03
Electrokinetic Soil Remediation Techniques,16,0.03
Animal Vocal Communication and Behavior,16,0.03
Soil and Land Suitability Analysis,15,0.03
Axon Guidance and Neuronal Signaling,15,0.03
MRI in cancer diagnosis,15,0.03
Full-Duplex Wireless Communications,15,0.03
Nuclear physics research studies,15,0.03
Carcinogens and Genotoxicity Assessment,15,0.03
Laser-induced spectroscopy and plasma,15,0.03
Trigeminal Neuralgia and Treatments,15,0.03
GaN-based semiconductor devices and materials,15,0.03
Personality Traits and Psychology,15,0.03
Pesticide Exposure and Toxicity,15,0.03
GDF15 and Related Biomarkers,15,0.03
Cardiac and Coronary Surgery Techniques,15,0.03
Infectious Diseases and Tuberculosis,15,0.03
Asphalt Pavement Performance Evaluation,15,0.03
Asymmetric Synthesis and Catalysis,15,0.03
Atomic and Molecular Physics,15,0.03
Inflammatory Myopathies and Dermatomyositis,15,0.03
X-ray Spectroscopy and Fluorescence Analysis,15,0.03
melanin and skin pigmentation,15,0.03
demographic modeling and climate adaptation,15,0.03
Environmental and Social Impact Assessments,15,0.03
Competitive and Knowledge Intelligence,15,0.03
Liquid Crystal Research Advancements,15,0.03
Numerical methods for differential equations,15,0.03
Hepatitis Viruses Studies and Epidemiology,15,0.03
Genetic and Kidney Cyst Diseases,15,0.03
Genetic and Clinical Aspects of Sex Determination and Chromosomal Abnormalities,15,0.03
Organic Food and Agriculture,15,0.03
Pelvic floor disorders treatments,15,0.03
Migration and Labor Dynamics,15,0.03
Simulation Techniques and Applications,15,0.03
Sphingolipid Metabolism and Signaling,15,0.03
Wind Energy Research and Development,15,0.03
Healthcare Systems and Technology,15,0.03
Corneal surgery and disorders,15,0.03
Retinoids in leukemia and cellular processes,15,0.03
Rangeland Management and Livestock Ecology,15,0.03
Heat shock proteins research,15,0.03
Gaze Tracking and Assistive Technology,15,0.03
Biotin and Related Studies,15,0.03
Hormonal and reproductive studies,15,0.03
Wind and Air Flow Studies,15,0.03
Spaceflight effects on biology,15,0.03
Potassium and Related Disorders,15,0.03
Surgical site infection prevention,15,0.03
Critical Theory and Philosophy,15,0.03
Chemical synthesis and alkaloids,15,0.03
Cancer Diagnosis and Treatment,15,0.03
Prenatal Screening and Diagnostics,15,0.03
Takotsubo Cardiomyopathy and Associated Phenomena,15,0.03
Sexual Differentiation and Disorders,15,0.03
Flame retardant materials and properties,15,0.03
Intergenerational Family Dynamics and Caregiving,15,0.03
Metastasis and carcinoma case studies,15,0.03
Seismology and Earthquake Studies,15,0.03
Seismic Imaging and Inversion Techniques,15,0.03
Advanced Photonic Communication Systems,15,0.03
HIV/AIDS oral health manifestations,15,0.03
Surface Chemistry and Catalysis,15,0.03
Quantum-Dot Cellular Automata,15,0.03
Information Technology Governance and Strategy,14,0.03
Philosophy and History of Science,14,0.03
Neurological Complications and Syndromes,14,0.03
Neurosurgical Procedures and Complications,14,0.03
Digital Communication and Language,14,0.03
Intracranial Aneurysms: Treatment and Complications,14,0.03
Animal Behavior and Reproduction,14,0.03
"Retirement, Disability, and Employment",14,0.03
Forest Insect Ecology and Management,14,0.03
Quantum and Classical Electrodynamics,14,0.03
Survey Methodology and Nonresponse,14,0.03
Online Learning Methods and Innovations,14,0.03
Digital Holography and Microscopy,14,0.03
Security and Verification in Computing,14,0.03
Restless Legs Syndrome Research,14,0.03
Empathy and Medical Education,14,0.03
Cancer Research and Treatment,14,0.03
Tendon Structure and Treatment,14,0.03
Geophysics and Sensor Technology,14,0.03
Cultural Competency in Health Care,14,0.03
Lattice Boltzmann Simulation Studies,14,0.03
Phosphodiesterase function and regulation,14,0.03
Skin and Cellular Biology Research,14,0.03
Hydrology and Sediment Transport Processes,14,0.03
Geomagnetism and Paleomagnetism Studies,14,0.03
Medical and Biological Ozone Research,14,0.03
Patient Safety and Medication Errors,14,0.03
Toxin Mechanisms and Immunotoxins,14,0.03
Mechanical Engineering and Vibrations Research,14,0.03
Biocrusts and Microbial Ecology,14,0.03
Vestibular and auditory disorders,14,0.03
Muscle and Compartmental Disorders,14,0.03
Big Data Technologies and Applications,14,0.03
Child and Animal Learning Development,14,0.03
"Coagulation, Bradykinin, Polyphosphates, and Angioedema",14,0.03
Earth Systems and Cosmic Evolution,14,0.03
Myasthenia Gravis and Thymoma,14,0.03
Fullerene Chemistry and Applications,14,0.03
Family Support in Illness,14,0.03
Agronomic Practices and Intercropping Systems,14,0.03
Student Assessment and Feedback,14,0.03
Neutropenia and Cancer Infections,14,0.03
Adaptive Dynamic Programming Control,14,0.03
Erythropoietin and Anemia Treatment,14,0.03
American Constitutional Law and Politics,14,0.03
Plant and Biological Electrophysiology Studies,14,0.03
Linguistic Variation and Morphology,14,0.03
Photopolymerization techniques and applications,14,0.03
Photorefractive and Nonlinear Optics,14,0.03
Burn Injury Management and Outcomes,14,0.03
Contemporary Sociological Theory and Practice,14,0.03
Biochemical Acid Research Studies,14,0.03
Radiation Therapy and Dosimetry,14,0.03
Multi-Agent Systems and Negotiation,14,0.03
Health and Well-being Studies,14,0.03
Media Studies and Communication,14,0.03
Greenhouse Technology and Climate Control,13,0.03
Enterobacteriaceae and Cronobacter Research,13,0.03
Ocular Infections and Treatments,13,0.03
Sociology and Education Studies,13,0.03
Software Reliability and Analysis Research,13,0.03
International Development and Aid,13,0.03
Blood transfusion and management,13,0.03
Prosthetics and Rehabilitation Robotics,13,0.03
Labor Movements and Unions,13,0.03
Laser-Matter Interactions and Applications,13,0.03
Kidney Stones and Urolithiasis Treatments,13,0.03
Critical Realism in Sociology,13,0.03
PAPR reduction in OFDM,13,0.03
Electron Spin Resonance Studies,13,0.03
Health Education and Validation,13,0.03
Global Educational Policies and Reforms,13,0.03
Crystal Structures and Properties,13,0.03
Thermal and Kinetic Analysis,13,0.03
Ionosphere and magnetosphere dynamics,13,0.03
Organoboron and organosilicon chemistry,13,0.03
Philosophy and Theoretical Science,13,0.03
Pediatric Urology and Nephrology Studies,13,0.03
Drug-Induced Adverse Reactions,13,0.03
Optimal Power Flow Distribution,13,0.03
Autoimmune Neurological Disorders and Treatments,13,0.03
Fire dynamics and safety research,13,0.03
Robotic Locomotion and Control,13,0.03
Philosophical Ethics and Theory,13,0.03
University-Industry-Government Innovation Models,13,0.03
Polymer crystallization and properties,13,0.03
Fluid Dynamics and Heat Transfer,13,0.03
Flavonoids in Medical Research,13,0.03
Crime Patterns and Interventions,13,0.03
Bioeconomy and Sustainability Development,13,0.03
Data Analysis and Archiving,13,0.03
Blood disorders and treatments,13,0.03
Fractional Differential Equations Solutions,13,0.03
Business Process Modeling and Analysis,13,0.03
Bone fractures and treatments,13,0.03
Body Contouring and Surgery,13,0.03
Mast cells and histamine,13,0.03
Seaweed-derived Bioactive Compounds,13,0.03
Child Abuse and Related Trauma,13,0.03
Gender Roles and Identity Studies,13,0.03
Genetically Modified Organisms Research,13,0.03
Economic and Technological Systems Analysis,13,0.03
Regional Development and Policy,13,0.03
Physiological and biochemical adaptations,13,0.03
Healthcare Systems and Public Health,13,0.03
"Bullying, Victimization, and Aggression",13,0.03
Education and Learning Interventions,13,0.03
Pharmaceutical studies and practices,13,0.03
Cardiac tumors and thrombi,13,0.03
Scheduling and Optimization Algorithms,13,0.03
Macrophage Migration Inhibitory Factor,13,0.03
Composting and Vermicomposting Techniques,13,0.03
Connective tissue disorders research,13,0.03
Thyroid and Parathyroid Surgery,13,0.03
Breast Implant and Reconstruction,13,0.03
Characterization and Applications of Magnetic Nanoparticles,13,0.03
Archaeology and ancient environmental studies,13,0.03
Higher Education Learning Practices,13,0.03
Brazilian Legal Issues,13,0.03
Vehicle Routing Optimization Methods,13,0.03
Advanced Data Compression Techniques,13,0.03
Statistical Methods in Epidemiology,13,0.03
Nonlinear Waves and Solitons,13,0.03
Underwater Acoustics Research,13,0.03
Parkinson's Disease and Spinal Disorders,13,0.03
Phase-change materials and chalcogenides,13,0.03
"Yersinia bacterium, plague, ectoparasites research",12,0.02
Infections and bacterial resistance,12,0.02
Robotics and Automated Systems,12,0.02
Youth Development and Social Support,12,0.02
AI-based Problem Solving and Planning,12,0.02
Interdisciplinary Research and Collaboration,12,0.02
Optical Coherence Tomography Applications,12,0.02
Family Business Performance and Succession,12,0.02
Topology Optimization in Engineering,12,0.02
Indoor Air Quality and Microbial Exposure,12,0.02
Traffic and Road Safety,12,0.02
Reproductive Health and Contraception,12,0.02
Winter Sports Injuries and Performance,12,0.02
Wildlife-Road Interactions and Conservation,12,0.02
Sustainability in Higher Education,12,0.02
Target Tracking and Data Fusion in Sensor Networks,12,0.02
Evaluation of Teaching Practices,12,0.02
Listeria monocytogenes in Food Safety,12,0.02
Nonlinear Optical Materials Studies,12,0.02
Heusler alloys: electronic and magnetic properties,12,0.02
Tree Root and Stability Studies,12,0.02
Constructed Wetlands for Wastewater Treatment,12,0.02
Chemical Reactions and Isotopes,12,0.02
Nail Diseases and Treatments,12,0.02
Blockchain Technology in Education and Learning,12,0.02
School Leadership and Teacher Performance,12,0.02
Reflective Practices in Education,12,0.02
Regional resilience and development,12,0.02
Education and Technology Integration,12,0.02
Advanced SAR Imaging Techniques,12,0.02
"Migration, Refugees, and Integration",12,0.02
Chemical Thermodynamics and Molecular Structure,12,0.02
Fractal and DNA sequence analysis,12,0.02
Soil Management and Crop Yield,12,0.02
Phytase and its Applications,12,0.02
Gender Politics and Representation,12,0.02
Head and Neck Surgical Oncology,12,0.02
Transboundary Water Resource Management,12,0.02
Dental materials and restorations,12,0.02
"Law, AI, and Intellectual Property",12,0.02
Geophysical Methods and Applications,12,0.02
Healthcare Technology and Patient Monitoring,12,0.02
Laser Material Processing Techniques,12,0.02
Human Resource Development and Performance Evaluation,12,0.02
Enhanced Oil Recovery Techniques,12,0.02
Hydraulic Fracturing and Reservoir Analysis,12,0.02
Carbohydrate Chemistry and Synthesis,12,0.02
Food Safety and Hygiene,12,0.02
Financial Reporting and Valuation Research,12,0.02
Seismic Waves and Analysis,12,0.02
Information and Cyber Security,12,0.02
Autoimmune Bullous Skin Diseases,12,0.02
Infrared Thermography in Medicine,12,0.02
bioluminescence and chemiluminescence research,12,0.02
Metal Extraction and Bioleaching,12,0.02
Structural Analysis and Optimization,12,0.02
Global Peace and Security Dynamics,12,0.02
Airway Management and Intubation Techniques,12,0.02
Experimental Learning in Engineering,12,0.02
Classical Philosophy and Thought,12,0.02
Cognitive and psychological constructs research,11,0.02
Pharmacological Effects of Medicinal Plants,11,0.02
Pharmacovigilance and Adverse Drug Reactions,11,0.02
Educational Innovations and Challenges,11,0.02
Attachment and Relationship Dynamics,11,0.02
Bauxite Residue and Utilization,11,0.02
Protein Tyrosine Phosphatases,11,0.02
Plant Genetic and Mutation Studies,11,0.02
Sport Psychology and Performance,11,0.02
Sport and Mega-Event Impacts,11,0.02
Ultrasonics and Acoustic Wave Propagation,11,0.02
Elasticity and Material Modeling,11,0.02
Parental Involvement in Education,11,0.02
Information Retrieval and Search Behavior,11,0.02
Advanced Fiber Optic Sensors,11,0.02
Advanced Frequency and Time Standards,11,0.02
Water Governance and Infrastructure,11,0.02
Mobile Ad Hoc Networks,11,0.02
Business and Economic Development,11,0.02
Parasites and Host Interactions,11,0.02
Educational Methods and Impacts,11,0.02
Ethics in medical practice,11,0.02
Random lasers and scattering media,11,0.02
Drilling and Well Engineering,11,0.02
Plant and Fungal Species Descriptions,11,0.02
Body Image and Dysmorphia Studies,11,0.02
Management of metastatic bone disease,11,0.02
Hemophilia Treatment and Research,11,0.02
Gender and Technology in Education,11,0.02
Physical Unclonable Functions (PUFs) and Hardware Security,11,0.02
Environmental Conservation and Management,11,0.02
Problem and Project Based Learning,11,0.02
Phenomenology and Existential Philosophy,11,0.02
Academic and Historical Perspectives in Psychology,11,0.02
Structural Behavior of Reinforced Concrete,11,0.02
Agricultural Economics and Policy,11,0.02
Elder Abuse and Neglect,11,0.02
Ethics in Business and Education,11,0.02
High Temperature Alloys and Creep,11,0.02
European Union Policy and Governance,11,0.02
Water Systems and Optimization,11,0.02
Stability and Control of Uncertain Systems,11,0.02
Renal function and acid-base balance,11,0.02
Global Education and Multiculturalism,11,0.02
Otitis Media and Relapsing Polychondritis,11,0.02
Employee Performance and Motivation,11,0.02
Ophthalmology and Eye Disorders,11,0.02
Alcoholism and Thiamine Deficiency,11,0.02
Smart Systems and Machine Learning,11,0.02
Therapeutic Uses of Natural Elements,11,0.02
Research on Leishmaniasis Studies,11,0.02
Reservoir Engineering and Simulation Methods,11,0.02
Hydrogen's biological and therapeutic effects,11,0.02
Surfactants and Colloidal Systems,11,0.02
Laser-Plasma Interactions and Diagnostics,11,0.02
Dermatologic Treatments and Research,11,0.02
Advanced Manufacturing and Logistics Optimization,11,0.02
Genital Health and Disease,11,0.02
Animal Behavior and Welfare Studies,11,0.02
Fluid Dynamics and Vibration Analysis,11,0.02
Animal Ecology and Behavior Studies,11,0.02
Fluoride Effects and Removal,11,0.02
"Grief, Bereavement, and Mental Health",11,0.02
Bioenergy crop production and management,11,0.02
"Counseling, Therapy, and Family Dynamics",11,0.02
Economic Development and Digital Transformation,11,0.02
Silicon Effects in Agriculture,11,0.02
Diagnosis and treatment of tuberculosis,11,0.02
Neural Networks Stability and Synchronization,11,0.02
Seed Germination and Physiology,11,0.02
Power System Optimization and Stability,11,0.02
Neonatal Health and Biochemistry,11,0.02
Vitamin K Research Studies,11,0.02
Voice and Speech Disorders,11,0.02
Advanced Optical Sensing Technologies,11,0.02
Polymer Nanocomposite Synthesis and Irradiation,11,0.02
Aesthetic Perception and Analysis,11,0.02
Education and Vocational Training,11,0.02
Wittgensteinian philosophy and applications,10,0.02
Advanced Data Processing Techniques,10,0.02
Advanced Numerical Analysis Techniques,10,0.02
Advanced Wireless Communication Techniques,10,0.02
Advanced Surface Polishing Techniques,10,0.02
Synthesis and properties of polymers,10,0.02
Insect behavior and control techniques,10,0.02
Traditional Chinese Medicine Studies,10,0.02
Ultrasound Imaging and Elastography,10,0.02
Ureteral procedures and complications,10,0.02
Urologic and reproductive health conditions,10,0.02
"Syntax, Semantics, Linguistic Variation",10,0.02
Appendicitis Diagnosis and Management,10,0.02
Cellular Automata and Applications,10,0.02
Chemical and Physical Properties in Aqueous Solutions,10,0.02
Biotechnology and Related Fields,10,0.02
Seed and Plant Biochemistry,10,0.02
"Chaos, Complexity, and Education",10,0.02
Chaos control and synchronization,10,0.02
Blood properties and coagulation,10,0.02
Smart Materials for Construction,10,0.02
Assisted Reproductive Technology and Twin Pregnancy,10,0.02
Surface and Thin Film Phenomena,10,0.02
Bioactive Compounds and Antitumor Agents,10,0.02
Groundwater and Watershed Analysis,10,0.02
Educational Methods and Outcomes,10,0.02
Educational Leadership and Practices,10,0.02
Polar Research and Ecology,10,0.02
Poisoning and overdose treatments,10,0.02
Planetary Science and Exploration,10,0.02
Dysphagia Assessment and Management,10,0.02
Human auditory perception and evaluation,10,0.02
Phonocardiography and Auscultation Techniques,10,0.02
Hospital Admissions and Outcomes,10,0.02
Human Rights and Development,10,0.02
Phytoestrogen effects and research,10,0.02
Effects of Radiation Exposure,10,0.02
Oil and Gas Production Techniques,10,0.02
Outsourcing and Supply Chain Management,10,0.02
Paleontology and Stratigraphy of Fossils,10,0.02
