primary_topic,publication_count,percentage
Gear and Bearing Dynamics Analysis,6,0.01
Bauxite Residue and Utilization,6,0.01
Plant biochemistry and biosynthesis,5,0.01
Crop Yield and Soil Fertility,5,0.01
Transboundary Water Resource Management,5,0.01
Sensory Analysis and Statistical Methods,5,0.01
Community Health and Development,5,0.01
Plant Pathogens and Resistance,5,0.01
French Urban and Social Studies,5,0.01
GNSS positioning and interference,5,0.01
Plant Micronutrient Interactions and Effects,5,0.01
Diverse Education Studies and Reforms,5,0.01
Health Education and Validation,5,0.01
Body Composition Measurement Techniques,5,0.01
Thermoregulation and physiological responses,5,0.01
High-Energy Particle Collisions Research,5,0.01
Infrastructure Resilience and Vulnerability Analysis,5,0.01
"Syntax, Semantics, Linguistic Variation",5,0.01
Tree-ring climate responses,5,0.01
Edcuational Technology Systems,5,0.01
Intracranial Aneurysms: Treatment and Complications,5,0.01
Aortic Disease and Treatment Approaches,5,0.01
Ichthyology and Marine Biology,5,0.01
Anesthesia and Sedative Agents,5,0.01
Corneal surgery and disorders,5,0.01
Behavioral and Psychological Studies,5,0.01
Multilevel Inverters and Converters,5,0.01
Family Business Performance and Succession,5,0.01
Environmental and Social Impact Assessments,5,0.01
S100 Proteins and Annexins,5,0.01
"Philosophy, Science, and History",5,0.01
Global Health and Surgery,5,0.01
Advanced X-ray Imaging Techniques,5,0.01
Signaling Pathways in Disease,5,0.01
Topology Optimization in Engineering,5,0.01
Research in Cotton Cultivation,5,0.01
Plasma Applications and Diagnostics,5,0.01
Random lasers and scattering media,5,0.01
Risk Perception and Management,5,0.01
Career Development and Diversity,5,0.01
GABA and Rice Research,5,0.01
Robotics and Automated Systems,5,0.01
Photonic Crystals and Applications,5,0.01
Silicon Carbide Semiconductor Technologies,5,0.01
CCD and CMOS Imaging Sensors,5,0.01
Neuroblastoma Research and Treatments,5,0.01
Risk and Safety Analysis,5,0.01
Cardiovascular Syncope and Autonomic Disorders,5,0.01
Public Relations and Crisis Communication,5,0.01
Radiology practices and education,5,0.01
Lanthanide and Transition Metal Complexes,5,0.01
Tree Root and Stability Studies,5,0.01
Pain Management and Opioid Use,5,0.01
Advances in Oncology and Radiotherapy,5,0.01
Physiological and biochemical adaptations,5,0.01
Microencapsulation and Drying Processes,5,0.01
Sexual Differentiation and Disorders,5,0.01
Pharmaceutical Economics and Policy,5,0.01
Political and Economic history of UK and US,5,0.01
Oxidative Organic Chemistry Reactions,5,0.01
Plant Physiology and Cultivation Studies,5,0.01
Machine Learning and ELM,5,0.01
"Linguistics, Language Diversity, and Identity",5,0.01
European and International Law Studies,5,0.01
African cultural and philosophical studies,5,0.01
Fluid Dynamics and Turbulent Flows,5,0.01
Corporate Taxation and Avoidance,5,0.01
Policy Transfer and Learning,5,0.01
melanin and skin pigmentation,5,0.01
"Migration, Refugees, and Integration",5,0.01
Childhood Cancer Survivors' Quality of Life,5,0.01
Magnetic confinement fusion research,5,0.01
Hygrothermal properties of building materials,5,0.01
Biosimilars and Bioanalytical Methods,5,0.01
Education Discipline and Inequality,5,0.01
Private Equity and Venture Capital,5,0.01
Globalization and Cultural Identity,5,0.01
Reproductive Health and Contraception,5,0.01
Academic and Historical Perspectives in Psychology,5,0.01
demographic modeling and climate adaptation,5,0.01
Anesthesia and Pain Management,5,0.01
Insurance and Financial Risk Management,5,0.01
Environmental Toxicology and Ecotoxicology,5,0.01
Anatomy and Medical Technology,5,0.01
Cancer therapeutics and mechanisms,5,0.01
Cultural Competency in Health Care,5,0.01
Gene Regulatory Network Analysis,5,0.01
Internet Traffic Analysis and Secure E-voting,5,0.01
Problem and Project Based Learning,5,0.01
Advanced DC-DC Converters,5,0.01
Renal and Vascular Pathologies,5,0.01
Advanced Fiber Optic Sensors,5,0.01
Laser Applications in Dentistry and Medicine,5,0.01
Child and Animal Learning Development,5,0.01
Soil and Unsaturated Flow,5,0.01
Seismic Imaging and Inversion Techniques,5,0.01
Advanced NMR Techniques and Applications,5,0.01
Traffic control and management,5,0.01
Agricultural risk and resilience,5,0.01
Social Media in Health Education,5,0.01
Catalytic Cross-Coupling Reactions,5,0.01
Wind Energy Research and Development,5,0.01
Radiation Dose and Imaging,5,0.01
Ultrasound in Clinical Applications,5,0.01
Mesoporous Materials and Catalysis,5,0.01
Innovation and Socioeconomic Development,5,0.01
"Environmental, Ecological, and Cultural Studies",5,0.01
Education Pedagogy and Practices,5,0.01
Material Properties and Applications,5,0.01
Regional Economics and Spatial Analysis,5,0.01
Phenomenology and Existential Philosophy,5,0.01
Genetic and Clinical Aspects of Sex Determination and Chromosomal Abnormalities,5,0.01
Medical Coding and Health Information,5,0.01
Eosinophilic Esophagitis,5,0.01
PAPR reduction in OFDM,5,0.01
Food Supply Chain Traceability,5,0.01
Erythrocyte Function and Pathophysiology,5,0.01
Maritime Transport Emissions and Efficiency,5,0.01
Tactile and Sensory Interactions,5,0.01
Higher Education Research Studies,5,0.01
Hemophilia Treatment and Research,5,0.01
Ocular Oncology and Treatments,5,0.01
Pharmacological Effects of Natural Compounds,5,0.01
Organizational Leadership and Management Strategies,5,0.01
Mycobacterium research and diagnosis,5,0.01
Homelessness and Social Issues,5,0.01
Gender Politics and Representation,5,0.01
Composting and Vermicomposting Techniques,5,0.01
Outsourcing and Supply Chain Management,5,0.01
Metal and Thin Film Mechanics,5,0.01
Online Learning Methods and Innovations,5,0.01
Advanced Frequency and Time Standards,5,0.01
Central Venous Catheters and Hemodialysis,5,0.01
Fermentation and Sensory Analysis,5,0.01
Critical Race Theory in Education,5,0.01
Amino Acid Enzymes and Metabolism,5,0.01
Fluoride Effects and Removal,5,0.01
Temporomandibular Joint Disorders,5,0.01
Insect symbiosis and bacterial influences,5,0.01
Flavonoids in Medical Research,5,0.01
E-Learning and Knowledge Management,5,0.01
Experimental and Theoretical Physics Studies,5,0.01
Economic Development and Digital Transformation,5,0.01
Combustion and Detonation Processes,5,0.01
Social Work Education and Practice,5,0.01
Gas Dynamics and Kinetic Theory,5,0.01
GDF15 and Related Biomarkers,5,0.01
Diverse Scientific Research Studies,5,0.01
COVID-19 Prevention and Impact,5,0.01
Advanced Technologies in Various Fields,5,0.01
Educational Innovations and Challenges,5,0.01
Internet of Things and AI,5,0.01
Analytical Methods in Pharmaceuticals,5,0.01
Engineering Education and Technology,5,0.01
Innovative Approaches in Technology and Social Development,4,0.01
Bone fractures and treatments,4,0.01
Urbanization and City Planning,4,0.01
Laser-Matter Interactions and Applications,4,0.01
Pain Management and Placebo Effect,4,0.01
Advanced Mathematical Theories,4,0.01
Avian ecology and behavior,4,0.01
Pleistocene-Era Hominins and Archaeology,4,0.01
Coal and Its By-products,4,0.01
Autopsy Techniques and Outcomes,4,0.01
Prion Diseases and Protein Misfolding,4,0.01
Phonetics and Phonology Research,4,0.01
Ion Channels and Receptors,4,0.01
Health and Well-being Studies,4,0.01
Speech and dialogue systems,4,0.01
Postcolonial and Cultural Literary Studies,4,0.01
Critical Realism in Sociology,4,0.01
Epoxy Resin Curing Processes,4,0.01
Hidradenitis Suppurativa and Treatments,4,0.01
Game Theory and Applications,4,0.01
Gastrointestinal Bleeding Diagnosis and Treatment,4,0.01
Global Educational Policies and Reforms,4,0.01
Land Rights and Reforms,4,0.01
Forest ecology and management,4,0.01
Prosthetics and Rehabilitation Robotics,4,0.01
Fungal Biology and Applications,4,0.01
Ultrasound Imaging and Elastography,4,0.01
Cognitive and developmental aspects of mathematical skills,4,0.01
Appendicitis Diagnosis and Management,4,0.01
Hip and Femur Fractures,4,0.01
Architecture and Computational Design,4,0.01
Educational Research and Analysis,4,0.01
Tensor decomposition and applications,4,0.01
Infant Nutrition and Health,4,0.01
Pain Management and Treatment,4,0.01
Tropical and Extratropical Cyclones Research,4,0.01
Inflammatory Myopathies and Dermatomyositis,4,0.01
Muscle activation and electromyography studies,4,0.01
Markov Chains and Monte Carlo Methods,4,0.01
Gastrointestinal Tumor Research and Treatment,4,0.01
Porphyrin and Phthalocyanine Chemistry,4,0.01
Attachment and Relationship Dynamics,4,0.01
Advanced Bandit Algorithms Research,4,0.01
Ionosphere and magnetosphere dynamics,4,0.01
Optimal Experimental Design Methods,4,0.01
Occupational and environmental lung diseases,4,0.01
3D Modeling in Geospatial Applications,4,0.01
Emergency and Acute Care Studies,4,0.01
Colorectal and Anal Carcinomas,4,0.01
bioluminescence and chemiluminescence research,4,0.01
Optical Coherence Tomography Applications,4,0.01
Oral Health Pathology and Treatment,4,0.01
Liquid Crystal Research Advancements,4,0.01
Fatigue and fracture mechanics,4,0.01
Business Strategy and Innovation,4,0.01
Urban Stormwater Management Solutions,4,0.01
Public Administration and Political Analysis,4,0.01
Mobile Learning in Education,4,0.01
"Culture, Economy, and Development Studies",4,0.01
Business and Management Studies,4,0.01
Geothermal Energy Systems and Applications,4,0.01
Animal Virus Infections Studies,4,0.01
Physical Education and Pedagogy,4,0.01
Statistics Education and Methodologies,4,0.01
"Anthropology: Ethics, History, Culture",4,0.01
Chemical and Physical Properties in Aqueous Solutions,4,0.01
European Union Policy and Governance,4,0.01
Mathematical and Theoretical Epidemiology and Ecology Models,4,0.01
Polynomial and algebraic computation,4,0.01
Agriculture and Rural Development Research,4,0.01
Psychoanalysis and Social Critique,4,0.01
Intergenerational and Educational Inequality Studies,4,0.01
Aesthetic Perception and Analysis,4,0.01
Security in Wireless Sensor Networks,4,0.01
Linguistic Variation and Morphology,4,0.01
Action Observation and Synchronization,4,0.01
Interdisciplinary Research and Collaboration,4,0.01
Simulation Techniques and Applications,4,0.01
Molecular Communication and Nanonetworks,4,0.01
"Hydropower, Displacement, Environmental Impact",4,0.01
Counseling Practices and Supervision,4,0.01
Periodontal Regeneration and Treatments,4,0.01
Experimental Learning in Engineering,4,0.01
Posthumanist Ethics and Activism,4,0.01
Environmental Philosophy and Ethics,4,0.01
Peanut Plant Research Studies,4,0.01
Digital Radiography and Breast Imaging,4,0.01
Media Studies and Communication,4,0.01
Big Data Technologies and Applications,4,0.01
HIV Research and Treatment,4,0.01
Escherichia coli research studies,4,0.01
Ginseng Biological Effects and Applications,4,0.01
Morphological variations and asymmetry,4,0.01
Language Development and Disorders,4,0.01
Renin-Angiotensin System Studies,4,0.01
Superconductivity in MgB2 and Alloys,4,0.01
Nonlinear Optical Materials Studies,4,0.01
Animal Vocal Communication and Behavior,4,0.01
Patient Safety and Medication Errors,4,0.01
nanoparticles nucleation surface interactions,4,0.01
Isotope Analysis in Ecology,4,0.01
Material Dynamics and Properties,4,0.01
Pickering emulsions and particle stabilization,4,0.01
Evaluation of Teaching Practices,4,0.01
Hand Gesture Recognition Systems,4,0.01
Cancer Diagnosis and Treatment,4,0.01
Ultrasound and Cavitation Phenomena,4,0.01
Animal Ecology and Behavior Studies,4,0.01
Hearing Loss and Rehabilitation,4,0.01
"Poverty, Education, and Child Welfare",4,0.01
European history and politics,4,0.01
Open Source Software Innovations,4,0.01
Advanced Optical Sensing Technologies,4,0.01
Animal and Plant Science Education,4,0.01
Biochemical effects in animals,4,0.01
Advanced Materials Characterization Techniques,4,0.01
Lysosomal Storage Disorders Research,4,0.01
Vector-borne infectious diseases,4,0.01
Family and Patient Care in Intensive Care Units,4,0.01
Information Systems Theories and Implementation,4,0.01
Adolescent and Pediatric Healthcare,4,0.01
Environmental Conservation and Management,4,0.01
Target Tracking and Data Fusion in Sensor Networks,4,0.01
Corruption and Economic Development,4,0.01
Advanced Biosensing Techniques and Applications,4,0.01
"Neuroethics, Human Enhancement, Biomedical Innovations",4,0.01
Religion and Society Interactions,4,0.01
Management Theory and Practice,4,0.01
Earth Systems and Cosmic Evolution,4,0.01
"Caribbean history, culture, and politics",4,0.01
History and Developments in Astronomy,4,0.01
Social and Cultural Dynamics,4,0.01
Evolutionary Psychology and Human Behavior,4,0.01
Control Systems and Identification,4,0.01
Urban Design and Spatial Analysis,4,0.01
Agronomic Practices and Intercropping Systems,4,0.01
Erythropoietin and Anemia Treatment,4,0.01
Cognitive and psychological constructs research,4,0.01
DNA and Biological Computing,4,0.01
Catalysis and Hydrodesulfurization Studies,4,0.01
Criminal Justice and Corrections Analysis,4,0.01
Soil and Land Suitability Analysis,4,0.01
Multidisciplinary Science and Engineering Research,4,0.01
Fungal Infections and Studies,4,0.01
Digital Holography and Microscopy,4,0.01
Synthesis and biological activity,4,0.01
Animal Nutrition and Physiology,4,0.01
Data Mining and Machine Learning Applications,4,0.01
Global Education and Multiculturalism,4,0.01
Tribology and Wear Analysis,4,0.01
Parasites and Host Interactions,4,0.01
Chemical Reactions and Isotopes,4,0.01
Sphingolipid Metabolism and Signaling,4,0.01
Adaptive Dynamic Programming Control,4,0.01
E-Learning and COVID-19,4,0.01
Health and Lifestyle Studies,4,0.01
Human auditory perception and evaluation,4,0.01
Agricultural Development and Policies,4,0.01
Remote Sensing and Land Use,4,0.01
Reading and Literacy Development,4,0.01
History and Theory of Mathematics,4,0.01
Amphibian and Reptile Biology,4,0.01
Plant Reproductive Biology,4,0.01
Polyamine Metabolism and Applications,4,0.01
Sustainable Building Design and Assessment,4,0.01
Digital Education and Society,4,0.01
Natural product bioactivities and synthesis,4,0.01
Climate Change and Geoengineering,4,0.01
Ultrasound and Hyperthermia Applications,4,0.01
Urticaria and Related Conditions,4,0.01
"Religion, Ecology, and Ethics",4,0.01
Phytase and its Applications,4,0.01
Magnetic Properties of Alloys,4,0.01
Sarcoidosis and Beryllium Toxicity Research,4,0.01
Dynamics and Control of Mechanical Systems,4,0.01
Lexicography and Language Studies,4,0.01
Process Optimization and Integration,4,0.01
Education and Teacher Training,4,0.01
Drug-Induced Adverse Reactions,4,0.01
Nursing education and management,4,0.01
Synthesis and Biological Evaluation,4,0.01
Social Acceptance of Renewable Energy,4,0.01
Academic integrity and plagiarism,4,0.01
Iron-based superconductors research,4,0.01
Radiation Shielding Materials Analysis,4,0.01
Cancer-related cognitive impairment studies,4,0.01
Climate Change and Environmental Impact,4,0.01
Non-Destructive Testing Techniques,4,0.01
Diverse Approaches in Healthcare and Education Studies,4,0.01
Berberine and alkaloids research,4,0.01
Retinal and Optic Conditions,4,0.01
Advanced machining processes and optimization,4,0.01
Research Data Management Practices,4,0.01
Quantum and Classical Electrodynamics,4,0.01
Noise Effects and Management,4,0.01
Copper-based nanomaterials and applications,4,0.01
"Religion, Society, and Development",4,0.01
Labor Movements and Unions,4,0.01
Environmental and Biological Research in Conflict Zones,4,0.01
Psychology of Development and Education,4,0.01
Advanced Antenna and Metasurface Technologies,4,0.01
Mechanical Behavior of Composites,4,0.01
Phase Equilibria and Thermodynamics,3,0.01
Religious Education and Schools,3,0.01
Child Therapy and Development,3,0.01
Seismic Waves and Analysis,3,0.01
Blind Source Separation Techniques,3,0.01
Participatory Visual Research Methods,3,0.01
Macrophage Migration Inhibitory Factor,3,0.01
Genetics and Neurodevelopmental Disorders,3,0.01
"Grief, Bereavement, and Mental Health",3,0.01
Weed Control and Herbicide Applications,3,0.01
"Psychology, Coaching, and Therapy",3,0.01
Political theory and Gramsci,3,0.01
Pesticide Residue Analysis and Safety,3,0.01
Ion channel regulation and function,3,0.01
Neonatal and fetal brain pathology,3,0.01
"Health, psychology, and well-being",3,0.01
Social Representations and Identity,3,0.01
Vehicle Routing Optimization Methods,3,0.01
Uterine Myomas and Treatments,3,0.01
Semiconductor Quantum Structures and Devices,3,0.01
Graph theory and applications,3,0.01
Adolescent Sexual and Reproductive Health,3,0.01
IgG4-Related and Inflammatory Diseases,3,0.01
Parental Involvement in Education,3,0.01
Stochastic processes and statistical mechanics,3,0.01
Advanced Database Systems and Queries,3,0.01
Iron oxide chemistry and applications,3,0.01
Planetary Science and Exploration,3,0.01
Microstructure and Mechanical Properties of Steels,3,0.01
Origins and Evolution of Life,3,0.01
Complementary and Alternative Medicine Studies,3,0.01
Wind and Air Flow Studies,3,0.01
Pediatric health and respiratory diseases,3,0.01
Intergenerational Family Dynamics and Caregiving,3,0.01
Chromatin Remodeling and Cancer,3,0.01
Computational Geometry and Mesh Generation,3,0.01
Themes in Literature Analysis,3,0.01
Data Management and Algorithms,3,0.01
Multisensory perception and integration,3,0.01
Plant and Biological Electrophysiology Studies,3,0.01
Horticultural and Viticultural Research,3,0.01
Advanced Numerical Methods in Computational Mathematics,3,0.01
Media Influence and Health,3,0.01
Demographic Trends and Gender Preferences,3,0.01
Geomagnetism and Paleomagnetism Studies,3,0.01
Nonlinear Dynamics and Pattern Formation,3,0.01
Gambling Behavior and Treatments,3,0.01
Anesthesia and Neurotoxicity Research,3,0.01
Fluid Dynamics and Heat Transfer,3,0.01
Plant Pathogenic Bacteria Studies,3,0.01
Pericarditis and Cardiac Tamponade,3,0.01
University Challenges and Reforms,3,0.01
Ion Transport and Channel Regulation,3,0.01
Traffic and Road Safety,3,0.01
Injury Epidemiology and Prevention,3,0.01
Inhalation and Respiratory Drug Delivery,3,0.01
Power System Optimization and Stability,3,0.01
Linguistics and Education Research,3,0.01
Australian History and Society,3,0.01
Polyoxometalates: Synthesis and Applications,3,0.01
Indoor Air Quality and Microbial Exposure,3,0.01
Energy Efficient Wireless Sensor Networks,3,0.01
Legal Cases and Commentary,3,0.01
Potato Plant Research,3,0.01
Management and Marketing Education,3,0.01
Radiative Heat Transfer Studies,3,0.01
Cooperative Communication and Network Coding,3,0.01
"Migration, Ethnicity, and Economy",3,0.01
Silicon Effects in Agriculture,3,0.01
Connective tissue disorders research,3,0.01
"Crafts, Textile, and Design",3,0.01
Facilities and Workplace Management,3,0.01
Ecocriticism and Environmental Literature,3,0.01
Cerebrovascular and genetic disorders,3,0.01
"Identity, Memory, and Therapy",3,0.01
American and British Literature Analysis,3,0.01
Differential Equations and Boundary Problems,3,0.01
Optimal Power Flow Distribution,3,0.01
Theoretical and Computational Physics,3,0.01
Nursing Diagnosis and Documentation,3,0.01
Microbial infections and disease research,3,0.01
"Crime, Illicit Activities, and Governance",3,0.01
Ear Surgery and Otitis Media,3,0.01
Vehicle emissions and performance,3,0.01
International Maritime Law Issues,3,0.01
Acne and Rosacea Treatments and Effects,3,0.01
Exercise and Physiological Responses,3,0.01
Regional resilience and development,3,0.01
Genetically Modified Organisms Research,3,0.01
Axon Guidance and Neuronal Signaling,3,0.01
Ophthalmology and Eye Disorders,3,0.01
Thermodynamic and Exergetic Analyses of Power and Cooling Systems,3,0.01
"Indigenous Health, Education, and Rights",3,0.01
"Epistemology, Ethics, and Metaphysics",3,0.01
Pregnancy and Medication Impact,3,0.01
Elder Abuse and Neglect,3,0.01
Image Processing and 3D Reconstruction,3,0.01
Advanced Steganography and Watermarking Techniques,3,0.01
Moringa oleifera research and applications,3,0.01
Coagulation and Flocculation Studies,3,0.01
Nanofabrication and Lithography Techniques,3,0.01
Statistical Methods in Epidemiology,3,0.01
School Health and Nursing Education,3,0.01
Water Governance and Infrastructure,3,0.01
HIV/AIDS drug development and treatment,3,0.01
Advanced SAR Imaging Techniques,3,0.01
Ginger and Zingiberaceae research,3,0.01
Protein Tyrosine Phosphatases,3,0.01
"Psychopathy, Forensic Psychiatry, Sexual Offending",3,0.01
Coenzyme Q10 studies and effects,3,0.01
Laser Material Processing Techniques,3,0.01
Ethics in Business and Education,3,0.01
Collaboration in agile enterprises,3,0.01
Geriatric Care and Nursing Homes,3,0.01
Emotional Intelligence and Performance,3,0.01
Meningioma and schwannoma management,3,0.01
Wildlife-Road Interactions and Conservation,3,0.01
Botany and Plant Ecology Studies,3,0.01
Heme Oxygenase-1 and Carbon Monoxide,3,0.01
Interpreting and Communication in Healthcare,3,0.01
Seaweed-derived Bioactive Compounds,3,0.01
Tuberous Sclerosis Complex Research,3,0.01
Multiple and Secondary Primary Cancers,3,0.01
Indian Economic and Social Development,3,0.01
SMEs Development and Digital Marketing,3,0.01
"Law, AI, and Intellectual Property",3,0.01
Network Traffic and Congestion Control,3,0.01
Teacher Professional Development and Motivation,3,0.01
Latin American and Latino Studies,3,0.01
Urban and Freight Transport Logistics,3,0.01
Anthropological Studies and Insights,3,0.01
Accounting and Organizational Management,3,0.01
Educational Leadership and Practices,3,0.01
Emotions and Moral Behavior,3,0.01
Model-Driven Software Engineering Techniques,3,0.01
Historical and Contemporary Political Dynamics,3,0.01
Renaissance Literature and Culture,3,0.01
Optimization and Variational Analysis,3,0.01
Law in Society and Culture,3,0.01
"Law, Economics, and Judicial Systems",3,0.01
Parasitic infections in humans and animals,3,0.01
Fungal and yeast genetics research,3,0.01
Higher Education and Employability,3,0.01
Mine drainage and remediation techniques,3,0.01
Caching and Content Delivery,3,0.01
Art Therapy and Mental Health,3,0.01
Force Microscopy Techniques and Applications,3,0.01
"Historical Studies on Reproduction, Gender, Health, and Societal Changes",3,0.01
Plasma Diagnostics and Applications,3,0.01
Concrete Corrosion and Durability,3,0.01
Biochemical and Structural Characterization,3,0.01
Reliability and Maintenance Optimization,3,0.01
Strategic Planning and Analysis,3,0.01
Rural development and sustainability,3,0.01
Cardiovascular and Diving-Related Complications,3,0.01
"Names, Identity, and Discrimination Research",3,0.01
Jewish and Middle Eastern Studies,3,0.01
Linguistic research and analysis,3,0.01
Acupuncture Treatment Research Studies,3,0.01
Automated Road and Building Extraction,3,0.01
Conflict of Laws and Jurisdiction,3,0.01
Risk and Portfolio Optimization,3,0.01
Employee Performance and Management,3,0.01
Educational Methods and Impacts,3,0.01
Antenna Design and Optimization,3,0.01
Mechanical Engineering and Vibrations Research,3,0.01
Formal Methods in Verification,3,0.01
Seed and Plant Biochemistry,3,0.01
Statistical Mechanics and Entropy,3,0.01
Education and Islamic Studies,3,0.01
"Quantum, superfluid, helium dynamics",3,0.01
Diverse Topics in Contemporary Research,3,0.01
"Psychoanalysis, Philosophy, and Politics",3,0.01
Italian Fascism and Post-war Society,3,0.01
Plant and Fungal Interactions Research,3,0.01
Pediatric Pain Management Techniques,3,0.01
Neurological diseases and metabolism,3,0.01
Nuclear Materials and Properties,3,0.01
Optimization and Mathematical Programming,3,0.01
Electrokinetic Soil Remediation Techniques,3,0.01
Atomic and Subatomic Physics Research,3,0.01
Enzyme Production and Characterization,3,0.01
Chemotherapy-induced organ toxicity mitigation,3,0.01
Customer churn and segmentation,3,0.01
Microbial Applications in Construction Materials,3,0.01
Mental Health and Psychiatry,3,0.01
Currency Recognition and Detection,3,0.01
Neurological Disease Mechanisms and Treatments,3,0.01
Colonial History and Postcolonial Studies,3,0.01
Rock Mechanics and Modeling,3,0.01
Economic and Technological Developments in Russia,3,0.01
Global and Cross-Cultural Management,3,0.01
Advanced materials and composites,3,0.01
Business Strategies and Management Research,3,0.01
Team Dynamics and Performance,3,0.01
Inorganic Fluorides and Related Compounds,3,0.01
"Communism, Protests, Social Movements",3,0.01
Biotechnology and Related Fields,3,0.01
"Literacy, Media, and Education",3,0.01
Family and Disability Support Research,3,0.01
Global Maritime and Colonial Histories,3,0.01
African history and culture studies,3,0.01
Modernist Literature and Criticism,3,0.01
Mathematics and Applications,3,0.01
Sensor Technology and Measurement Systems,3,0.01
Acoustic Wave Resonator Technologies,3,0.01
Quality and Management Systems,3,0.01
Transportation Planning and Optimization,3,0.01
Healthcare Systems and Challenges,3,0.01
"Race, Genetics, and Society",3,0.01
Musculoskeletal Disorders and Rehabilitation,3,0.01
Surface Chemistry and Catalysis,3,0.01
Nanotechnology research and applications,3,0.01
Numerical methods in inverse problems,3,0.01
School Leadership and Teacher Performance,3,0.01
Irrigation Practices and Water Management,3,0.01
Atmospheric Ozone and Climate,3,0.01
Cybercrime and Law Enforcement Studies,3,0.01
Antibiotics Pharmacokinetics and Efficacy,3,0.01
Advanced Surface Polishing Techniques,3,0.01
Cultural Heritage Management and Preservation,3,0.01
Noncommutative and Quantum Gravity Theories,3,0.01
Theatre and Performance Studies,3,0.01
"Optimism, Hope, and Well-being",3,0.01
Medical and Biological Ozone Research,3,0.01
Thermal and Kinetic Analysis,3,0.01
Animal Genetics and Reproduction,3,0.01
Second Language Acquisition and Learning,3,0.01
Polysaccharides Composition and Applications,3,0.01
Soil Mechanics and Vehicle Dynamics,3,0.01
Electric and Hybrid Vehicle Technologies,3,0.01
Critical and Liberation Pedagogy,3,0.01
Wittgensteinian philosophy and applications,3,0.01
Information and Cyber Security,3,0.01
Electric Motor Design and Analysis,3,0.01
Rice Cultivation and Yield Improvement,3,0.01
Advanced Manufacturing and Logistics Optimization,3,0.01
Traditional Chinese Medicine Studies,3,0.01
Planarian Biology and Electrostimulation,3,0.01
Video Analysis and Summarization,3,0.01
"Categorization, perception, and language",3,0.01
Marine Biology and Environmental Chemistry,3,0.01
Enhanced Oil Recovery Techniques,3,0.01
Magnetic Properties and Synthesis of Ferrites,3,0.01
Atomic and Molecular Physics,3,0.01
Elasticity and Wave Propagation,3,0.01
Education Methods and Practices,3,0.01
Community Development and Social Impact,3,0.01
"Coagulation, Bradykinin, Polyphosphates, and Angioedema",3,0.01
Nonlinear Optical Materials Research,3,0.01
Hair Growth and Disorders,3,0.01
Icing and De-icing Technologies,3,0.01
Biocrusts and Microbial Ecology,3,0.01
"Religion, Spirituality, and Psychology",3,0.01
"Hearing, Cochlea, Tinnitus, Genetics",3,0.01
Quality and Safety in Healthcare,3,0.01
Advanced Semiconductor Detectors and Materials,3,0.01
Plant-Derived Bioactive Compounds,3,0.01
Structural Behavior of Reinforced Concrete,3,0.01
Text Readability and Simplification,3,0.01
"Business, Innovation, and Economy",3,0.01
Chemical Synthesis and Characterization,3,0.01
Topological and Geometric Data Analysis,3,0.01
Digital Imaging for Blood Diseases,3,0.01
Polymer Nanocomposites and Properties,3,0.01
Human Resource and Talent Management,3,0.01
Neurosurgical Procedures and Complications,3,0.01
Food Industry and Aquatic Biology,3,0.01
Law and Political Science,3,0.01
Spectral Theory in Mathematical Physics,2,0.0
"Rabbits: Nutrition, Reproduction, Health",2,0.0
Induction Heating and Inverter Technology,2,0.0
Geotechnical and Geomechanical Engineering,2,0.0
advanced mathematical theories,2,0.0
Geological Modeling and Analysis,2,0.0
Radio Frequency Integrated Circuit Design,2,0.0
Vascular Malformations and Hemangiomas,2,0.0
Family Dynamics and Relationships,2,0.0
Toxoplasma gondii Research Studies,2,0.0
Characterization and Applications of Magnetic Nanoparticles,2,0.0
Heart rate and cardiovascular health,2,0.0
Byzantine Studies and History,2,0.0
T-cell and Retrovirus Studies,2,0.0
Insect behavior and control techniques,2,0.0
Glass properties and applications,2,0.0
Wave and Wind Energy Systems,2,0.0
Leptospirosis research and findings,2,0.0
graph theory and CDMA systems,2,0.0
Antimicrobial agents and applications,2,0.0
Biochemical and Molecular Research,2,0.0
Legal Education and Practice Innovations,2,0.0
Adaptive optics and wavefront sensing,2,0.0
Digital Communication and Language,2,0.0
Direction-of-Arrival Estimation Techniques,2,0.0
American Political and Social Dynamics,2,0.0
Numerical methods in engineering,2,0.0
Urban Planning and Governance,2,0.0
Hedgehog Signaling Pathway Studies,2,0.0
Construction Project Management and Performance,2,0.0
Mathematical Biology Tumor Growth,2,0.0
Catalytic Alkyne Reactions,2,0.0
Radiation Detection and Scintillator Technologies,2,0.0
Vietnamese History and Culture Studies,2,0.0
Hypothalamic control of reproductive hormones,2,0.0
Cloud Data Security Solutions,2,0.0
Error Correcting Code Techniques,2,0.0
Cancer Research and Treatment,2,0.0
Vascular Procedures and Complications,2,0.0
Myeloproliferative Neoplasms: Diagnosis and Treatment,2,0.0
Educational Methods and Outcomes,2,0.0
Aluminum toxicity and tolerance in plants and animals,2,0.0
HIV/AIDS Impact and Responses,2,0.0
Menstrual Health and Disorders,2,0.0
Autoimmune and Inflammatory Disorders,2,0.0
Sport and Mega-Event Impacts,2,0.0
Polymer Science and PVC,2,0.0
Aerodynamics and Fluid Dynamics Research,2,0.0
Phase-change materials and chalcogenides,2,0.0
Synthetic Aperture Radar (SAR) Applications and Techniques,2,0.0
